EmployeeID,JobRole,Department,MonthlyIncome,Age,YearsAtCompany,YearsSinceLastPromotion,OverTime,AttritionRiskScore,PersonaName,PersonaDescription,RecommendedIntervention
379,Sales Executive,Sales,5304,34,5,0,Yes,83.5,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
382,Sales Representative,Sales,2476,30,1,0,No,82.1,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
383,Research Scientist,Research & Development,3102,26,6,0,No,62.7,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
385,Sales Executive,Sales,7596,36,10,9,No,64.8,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
386,Research Scientist,Research & Development,2285,30,1,0,Yes,95.5,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
390,Manufacturing Director,Research & Development,4197,37,1,0,Yes,60.9,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
396,Laboratory Technician,Research & Development,2258,43,3,1,No,67.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
398,Sales Executive,Sales,4487,25,5,1,Yes,75.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
399,Research Scientist,Research & Development,4449,37,13,10,Yes,52.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
403,Sales Executive,Sales,6577,30,5,4,No,53.3,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
406,Laboratory Technician,Research & Development,4031,25,2,0,No,56.6,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
415,Sales Representative,Sales,3202,24,5,1,Yes,96.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
416,Sales Representative,Sales,2351,34,2,1,No,54.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
417,Laboratory Technician,Research & Development,1702,38,1,0,Yes,50.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
422,Research Scientist,Research & Development,2546,29,2,1,No,74.3,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
423,Human Resources,Human Resources,2564,19,1,0,No,82.6,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
426,Manager,Research & Development,17046,50,27,15,No,59.9,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
431,Laboratory Technician,Research & Development,4230,35,5,4,No,72.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
436,Manager,Research & Development,13610,33,7,7,Yes,50.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
437,Laboratory Technician,Research & Development,3408,33,4,1,No,65.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
438,Sales Representative,Sales,2983,30,3,1,No,73.4,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
440,Healthcare Representative,Research & Development,9824,31,1,0,No,61.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
441,Human Resources,Human Resources,9950,34,3,0,Yes,95.8,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
444,Laboratory Technician,Research & Development,3894,22,2,1,No,89.6,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
451,Sales Executive,Sales,6582,31,6,0,Yes,52.2,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
454,Human Resources,Human Resources,2741,26,7,1,Yes,80.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
458,Sales Representative,Sales,1878,18,0,0,Yes,98.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
461,Sales Executive,Sales,4306,26,0,0,No,51.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
464,Laboratory Technician,Research & Development,2340,26,1,0,Yes,99.3,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
471,Sales Representative,Sales,2400,24,2,2,No,54.8,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
479,Sales Representative,Sales,2096,25,7,0,No,58.2,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
480,Laboratory Technician,Research & Development,2886,24,6,1,Yes,77.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
481,Sales Representative,Sales,2033,30,1,0,No,88.4,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
484,Laboratory Technician,Research & Development,3681,35,3,0,No,78.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
487,Sales Executive,Sales,9602,37,3,1,Yes,60.8,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
492,Laboratory Technician,Research & Development,5679,43,8,4,Yes,53.3,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
494,Human Resources,Human Resources,5985,44,2,0,No,50.2,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
495,Sales Representative,Sales,2579,34,8,0,Yes,66.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
497,Sales Representative,Sales,3447,21,3,1,No,91.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
505,Sales Executive,Sales,4286,45,1,0,No,58.1,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
509,Research Scientist,Research & Development,6646,35,17,11,No,53.3,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
514,Research Scientist,Research & Development,1009,20,1,1,Yes,59.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
515,Research Scientist,Research & Development,3348,33,10,9,Yes,95.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
526,Sales Executive,Sales,4577,24,2,2,No,86.2,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
529,Sales Executive,Sales,6796,50,4,1,Yes,85.3,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
534,Sales Executive,Sales,10475,40,18,1,Yes,51.1,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
537,Sales Executive,Sales,5405,60,2,2,No,85.2,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
540,Sales Representative,Sales,3875,50,2,2,No,60.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
541,Research Scientist,Research & Development,2216,28,7,3,Yes,82.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
544,Laboratory Technician,Research & Development,3708,44,5,1,No,55.6,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
545,Sales Executive,Sales,13770,47,22,11,Yes,85.2,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
548,Research Scientist,Research & Development,2759,42,2,2,Yes,63.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
552,Human Resources,Human Resources,6389,39,8,3,No,58.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
560,Research Scientist,Research & Development,3057,38,1,0,Yes,79.4,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
565,Sales Representative,Sales,6632,45,8,3,No,93.3,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
567,Sales Executive,Sales,6397,47,5,1,Yes,85.5,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
572,Laboratory Technician,Research & Development,4364,26,2,2,No,71.7,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
574,Sales Executive,Sales,5326,26,4,1,No,89.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
576,Manufacturing Director,Research & Development,5485,54,5,1,Yes,51.3,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
579,Manufacturing Director,Research & Development,5980,38,15,4,Yes,82.8,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
581,Sales Representative,Sales,2572,35,3,0,No,56.4,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
586,Laboratory Technician,Research & Development,1601,23,0,0,Yes,69.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
590,Laboratory Technician,Research & Development,2319,29,1,0,Yes,89.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
592,Sales Executive,Sales,5324,33,3,0,No,84.6,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
600,Human Resources,Human Resources,2143,36,5,0,No,55.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
602,Laboratory Technician,Research & Development,5094,40,1,0,No,86.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
603,Manufacturing Director,Research & Development,6877,30,0,0,Yes,58.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
613,Sales Executive,Sales,4779,28,8,7,Yes,82.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
615,Research Scientist,Research & Development,2366,26,8,1,Yes,51.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
619,Research Scientist,Research & Development,3424,25,4,0,No,78.2,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
621,Research Scientist,Research & Development,2559,35,6,1,No,59.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
632,Laboratory Technician,Research & Development,2818,44,3,0,Yes,50.3,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
633,Research Scientist,Research & Development,2515,42,2,2,Yes,79.0,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
635,Sales Executive,Sales,4194,25,5,0,Yes,64.6,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
637,Research Scientist,Research & Development,2022,35,10,7,Yes,76.1,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
639,Sales Executive,Sales,4256,25,5,0,No,65.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
643,Sales Representative,Sales,2899,38,2,1,No,57.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
646,Sales Representative,Sales,2800,29,3,0,Yes,77.4,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
649,Sales Representative,Sales,2973,37,5,0,No,58.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
653,Sales Executive,Sales,7642,37,10,0,Yes,73.2,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
657,Laboratory Technician,Research & Development,2795,32,1,0,Yes,96.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
659,Research Scientist,Research & Development,2559,44,8,7,Yes,86.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
661,Laboratory Technician,Research & Development,2380,58,1,0,Yes,77.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
663,Sales Representative,Sales,2044,20,2,0,No,64.1,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
666,Sales Representative,Sales,3294,47,3,1,Yes,75.6,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
668,Laboratory Technician,Research & Development,2778,41,7,1,Yes,73.1,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
670,Laboratory Technician,Research & Development,2404,39,2,2,Yes,87.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
674,Research Scientist,Research & Development,2799,33,3,0,Yes,88.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
676,Sales Representative,Sales,2329,31,7,5,No,69.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
678,Laboratory Technician,Research & Development,7403,49,26,1,No,57.2,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
684,Sales Representative,Sales,2413,25,1,0,Yes,95.2,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
685,Sales Executive,Sales,9705,40,1,0,No,65.8,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
686,Sales Executive,Sales,4294,26,7,0,No,52.2,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
689,Sales Representative,Sales,2121,19,1,0,Yes,97.7,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
690,Laboratory Technician,Research & Development,2973,20,1,0,No,95.8,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
692,Research Scientist,Research & Development,3617,40,1,0,Yes,69.3,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
696,Sales Executive,Sales,10609,37,14,11,No,93.4,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
698,Sales Representative,Sales,2157,29,3,0,No,66.4,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
704,Sales Executive,Sales,5666,38,5,1,Yes,72.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
707,Sales Executive,Sales,13194,40,1,0,Yes,52.8,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
710,Research Scientist,Research & Development,2321,31,3,1,Yes,82.7,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
712,Research Scientist,Research & Development,2404,29,0,0,Yes,80.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
718,Laboratory Technician,Research & Development,2811,27,2,2,No,87.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
721,Research Scientist,Research & Development,2132,30,5,0,Yes,89.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
726,Laboratory Technician,Research & Development,3743,35,4,0,Yes,78.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
730,Healthcare Representative,Research & Development,10388,35,16,10,Yes,65.8,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
732,Research Scientist,Research & Development,2600,20,1,0,Yes,89.9,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
733,Laboratory Technician,Research & Development,2422,30,3,1,No,77.3,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
735,Laboratory Technician,Research & Development,2451,22,4,1,No,87.2,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
745,Healthcare Representative,Research & Development,4777,37,1,0,No,64.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
748,Sales Executive,Sales,6861,38,1,0,Yes,81.4,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
749,Sales Executive,Sales,4969,26,2,2,No,81.5,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
754,Manufacturing Director,Research & Development,10880,39,21,2,Yes,82.9,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
757,Laboratory Technician,Research & Development,4025,32,8,7,No,52.6,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
760,Human Resources,Human Resources,2177,45,6,0,No,59.2,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
762,Laboratory Technician,Research & Development,4834,36,1,0,No,70.3,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
763,Research Scientist,Research & Development,2042,26,3,1,Yes,95.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
